AX,AY,AZ,GX,GY,GZ,water,activity
-1016,1236,-20872,4224,-171,-4100,217,drowning
-3040,1880,-19492,3156,-3220,-1401,217,drowning
-928,3360,-15356,2389,2080,752,217,drowning
-652,6472,-15440,6894,8456,582,215,drowning
2304,1512,-13824,5669,9272,-3426,214,drowning
3432,-3188,-20664,5318,8985,-5248,212,drowning
4612,-1364,-18616,2714,-10,-2693,213,drowning
3376,-3756,-18884,492,712,844,214,drowning
2760,-5856,-15116,-320,-1597,4582,215,drowning
1980,-2488,-14700,-1711,-254,7667,216,drowning
2304,-952,-16260,-3991,-2163,4975,216,drowning
3576,428,-17956,-6060,-1634,3222,216,drowning
252,-28,-17080,-2148,-3501,-223,217,drowning
1040,2060,-19556,-2734,-2300,-486,217,drowning
2728,-1980,-14864,-1240,-303,336,217,drowning
2996,1016,-20084,-3407,3224,2978,217,drowning
4124,4360,-16764,-6397,629,929,216,drowning
3560,2384,-16904,-2461,1839,-734,217,drowning
2852,3180,-20172,-2969,2461,-2887,216,drowning
1472,2968,-21928,32,28,-2403,216,drowning
3824,1680,-20572,-1544,-4023,-3446,214,drowning
3436,2876,-19236,-341,-4155,-2141,214,drowning
3140,3072,-19556,771,-3313,-2286,212,drowning
2220,2056,-18876,4711,-2938,-2600,210,drowning
2440,2176,-16572,3508,-6463,-3218,208,drowning
2108,1580,-17372,972,-124,-2227,208,drowning
1692,3108,-17868,2024,-3144,-825,209,drowning
504,2896,-16192,-1329,-702,253,218,drowning
